Project,Owner,Manager,Category,Key,Priority,Status,Reporter,Assignee,Components,SummaryTopWords,DescriptionTopWords,CommentsTopWords,CreationDate,ResolutionDate,creationDate_number,resolutionDate_number,nResolutionDays,count,AffectsVersions,FixVersions,NoComments,FirstCommentDate,LastCommentDate,NoWatchers,NoAttachments,FirstAttachmentDate,LastAttachmentDate,NoAttachedPatches,FirstAttachedPatchDate,LastAttachedPatchDate,InwardIssueLinks,OutwardIssueLinks
YARN,ASF,Apache Hadoop Committee,big-data,7697,Blocker,Resolved,santhoshbg,xgong,,nm:1 goes:1 due:1 leak:1 log:1 aggregation:1,java:23 yarn:11 apache:11 run:5 thread:4 server:4 security:3 subject:2 concurrent:2 application:2 fatal:1 main:1 threw:1 error:1 shutting:1 heap:1 space:1 access:1 native:1 method:1 worker:1 info:1 handle:1,color:930 green:325 yarn:146 patch:91 red:76 apache:55 passed:54 common:50 trunk:43 https:32 build:32 compile:30 builds:27 job:27 blue:24 tests:23 brown:20 black:20 java:18 project:18 artifact:16 0s:15 client:15 maven:15 failed:15 unit:14 branch:12 issues:11 test:11 subsystem:10 docker:10 author:10 errors:10 building:10 testing:10 artifacts:10 ce:10 linux:10 personality:10 console:10 issue:9 new:9 23s:9 process:7 generated:7 22s:7 comment:6 default:6 output:6 edit:6 overall:5 vote:5 mode:5 activated:5 contain:5 tags:5 include:5 modified:5 license:5 report:5 notes:5 server:5 image:5 url:5 secure:5 attachment:5 optional:5 generic:5 utc:5 gnu:5 tool:5 provided:5 git:5 revision:5 version:5 results:5 max:5 thread:5 count:5 vs:5 modules:5 c:5 u:5 powered:5 snapshot:5 http:5 message:5 automatically:5 x:4 19s:4 27s:4 generate:4 warnings:4 appears:4 files:4 21s:4 main:4 truncate:3 log:3 byte:3 24s:3 17s:3 mon:3 feb:3 aggregation:3 long:3 30s:3 commit:3 file:2 instead:2 read:2 allocate:2 array:2 correct:2 value:2 get:2 nm:2 fix:2 check:2 fixed:2 please:2 29s:2 20s:2 16s:2 happen:2 continuous:2 1s:2 11s:2 fri:2 aug:2 root:2 9s:2 18s:2 path:2 7s:2 thanks:2 happens:1 looks:1 like:1 return:1 false:1 throw:1 exception:1 still:1 corrupted:1 aggregated:1 reading:1 logs:1 offset:1 probably:1 invalid:1 big:1 upload:1 includes:1 two:1 parts:1 use:1 directly:1 checksum:1 length:1 always:1 appended:1 end:1 loaded:1 original:1 guarantee:1 appear:1 justify:1 needed:1 also:1 list:1 manual:1 steps:1 performed:1 verify:1 26s:1 10s:1 running:1 applications:1 nevertheless:1 critical:1 marking:1 oh:1 missed:1 last:1 marked:1 blocker:1 make:1 sure:1 rid:1 frequently:1 28s:1 14s:1 40s:1 6s:1 unchanged:1 total:1 reason:1 module:1 found:1 reliance:1 encoding:1 string:1 line:1 html:1 tomorrow:1 objections:1 success:1 integrated:1 see:1 goes:1 due:1 leak:1 rev:1 committed:1,2018-01-03T19:28:50.000+0000,2018-02-12T03:12:31.000+0000,180103,180212,39,1,3.1.0,3.1.0,13,2018-01-03T19:32:02.486+0000,2018-02-12T03:12:31.791+0000,0,3,2018-01-03T19:34:58.891+0000,2018-02-04T06:38:54.497+0000,3,2018-01-03T19:34:58.891+0000,2018-02-04T06:38:54.497+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,7698,Minor,Resolved,lingjinjiang,lingjinjiang,resourcemanager,misleading:1 variable:1 name:1,one:4 color:4 named:3 two:2 red:2 id:2 think:2 name:2 find:1 variables:1 first:1 true:1 attempt:1 sure:1 reason:1 application:1 function:1 may:1 cause:1 misleading:1 better:1 fix:1 second:1,color:204 green:72 yarn:28 patch:23 red:14 apache:14 passed:13 trunk:12 server:11 blue:8 https:8 tests:8 build:6 branch:5 builds:5 job:5 compile:5 unit:5 subsystem:4 0s:4 console:4 brown:4 black:4 docker:3 issues:3 message:3 please:3 client:3 maven:3 java:3 project:3 x:2 overall:2 vote:2 comment:2 mode:2 activated:2 4s:2 see:2 report:2 notes:2 issue:2 url:2 secure:2 attachment:2 output:2 powered:2 snapshot:2 http:2 automatically:2 generated:2 author:2 new:2 errors:2 building:2 testing:2 artifacts:2 24s:2 failed:2 ce:2 linux:2 personality:2 test:2 name:2 commit:2 apply:1 required:1 wrong:1 help:1 14s:1 contain:1 tags:1 appear:1 include:1 modified:1 justify:1 needed:1 also:1 list:1 manual:1 steps:1 performed:1 verify:1 27s:1 40s:1 2s:1 7s:1 10s:1 23s:1 18s:1 21s:1 generate:1 license:1 warnings:1 25s:1 reason:1 scheduler:1 capacity:1 image:1 optional:1 generic:1 wed:1 oct:1 utc:1 gnu:1 tool:1 provided:1 git:1 revision:1 version:1 default:1 artifact:1 results:1 max:1 process:1 thread:1 count:1 vs:1 modules:1 c:1 u:1 changing:1 two:1 variables:1 think:1 failure:1 relationship:1 hi:1 review:1 committing:1 committed:1 thanks:1 contribution:1 addition:1 fixes:1 following:1 error:1 fix:1 success:1 integrated:1 misleading:1 variable:1 rev:1 edit:1 main:1,2018-01-04T12:02:47.000+0000,2018-01-29T15:14:21.000+0000,180104,180129,25,1,,3.0.1 2.9.1 2.10.0 3.1.0,8,2018-01-04T12:10:51.299+0000,2018-01-29T15:49:03.572+0000,0,3,2018-01-04T12:04:05.795+0000,2018-01-26T06:06:09.496+0000,3,2018-01-04T12:04:05.795+0000,2018-01-26T06:06:09.496+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,7699,Major,Resolved,sunilg,sunilg,webapp,coming:1 rest:1 call:1,memory:17 x:4 site:3 false:3 used:3 reserved:3 pending:3 amused:3 http:2 priority:2 entry:2 key:2 value:2 rest:1 p:1 call:1 credit:1 id:1 user:1 name:1 queue:1 state:1 running:1 undefined:1 progress:1 proxy:1 diagnostics:1 yarn:1 node:1 mb:1 capability:1 true:1 guaranteed:1 type:1 lifetime:1 unlimited:1,color:390 green:144 yarn:45 patch:43 passed:26 red:23 apache:20 branch:19 server:19 tests:16 blue:12 trunk:12 build:11 https:11 compile:10 builds:8 job:8 brown:8 unit:8 black:8 0s:7 docker:7 subsystem:6 console:6 client:6 maven:6 failed:5 issues:5 project:5 issue:4 author:4 new:4 please:4 errors:4 building:4 testing:4 artifacts:4 29s:4 ce:4 linux:4 personality:4 java:4 x:3 overall:3 vote:3 comment:3 mode:3 activated:3 report:3 notes:3 url:3 secure:3 attachment:3 output:3 powered:3 snapshot:3 http:3 message:3 automatically:3 generated:3 1s:3 25s:2 contain:2 tags:2 appear:2 include:2 modified:2 justify:2 needed:2 also:2 list:2 manual:2 steps:2 performed:2 verify:2 30s:2 generate:2 license:2 warnings:2 reason:2 image:2 optional:2 generic:2 utc:2 gnu:2 tool:2 provided:2 git:2 revision:2 version:2 default:2 artifact:2 test:2 results:2 max:2 process:2 thread:2 count:2 vs:2 modules:2 c:2 u:2 committed:2 branches:2 thanks:2 commit:2 scheduler:2 3s:2 21s:2 attaching:1 fix:1 cc:1 19s:1 13s:1 50s:1 17s:1 10s:1 22s:1 fri:1 aug:1 appears:1 conflicts:1 provide:1 patches:1 applied:1 success:1 integrated:1 see:1 coming:1 rest:1 rev:1 edit:1 main:1 common:1 fica:1 14s:1 23s:1 12s:1 15s:1 20s:1 capacity:1 wed:1 oct:1,2018-01-04T13:07:58.000+0000,2018-01-08T10:33:46.000+0000,180104,180108,4,1,3.0.0 2.9.0,3.0.1 2.9.1 2.10.0 3.1.0,9,2018-01-04T13:10:14.835+0000,2018-01-08T10:33:46.207+0000,0,2,2018-01-04T13:09:55.100+0000,2018-01-08T06:06:16.388+0000,2,2018-01-04T13:09:55.100+0000,2018-01-08T06:06:16.388+0000,,Duplicate:7471
YARN,ASF,Apache Hadoop Committee,big-data,7705,Major,Resolved,yufeigu,yufeigu,nodemanager,create:1 container:1 log:1 directory:1 correct:1 sticky:1 bit:1 c:1 code:1,log:3 directory:3 java:2 sticky:2 bit:2 yarn:1 created:1 container:1 able:1 set:1 correct:1 language:1 limitation:1 wrong:1 causes:1 failure:1 reading:1 files:1 inside:1 solve:1 need:1 c:1 code:1,color:970 green:369 yarn:181 patch:93 server:76 passed:62 apache:47 trunk:43 red:40 compile:32 https:29 build:29 tests:24 builds:24 job:24 project:21 blue:20 brown:20 black:20 cc:17 unit:17 0s:16 orange:16 test:15 client:15 maven:15 artifact:13 new:12 generated:12 java:11 container:10 subsystem:10 docker:10 author:10 errors:10 building:10 testing:10 artifacts:10 issues:10 ce:10 linux:10 personality:10 console:10 failed:9 executor:8 fixed:8 c:8 unchanged:7 total:7 20s:7 edit:7 main:7 native:5 overall:5 vote:5 comment:5 21s:5 mode:5 activated:5 contain:5 tags:5 appears:5 include:5 modified:5 files:5 branch:5 generate:5 license:5 warnings:5 report:5 notes:5 image:5 issue:5 url:5 secure:5 attachment:5 optional:5 generic:5 utc:5 gnu:5 tool:5 provided:5 git:5 revision:5 version:5 default:5 results:5 max:5 process:5 thread:5 count:5 vs:5 modules:5 u:5 output:5 powered:5 snapshot:5 http:5 message:5 automatically:5 x:4 19s:4 22s:4 23s:3 wed:3 oct:3 16s:3 28s:3 log:3 commit:3 introduced:2 12s:2 reason:2 mon:2 feb:2 thank:2 extra:2 add:2 check:2 thanks:2 review:2 11s:2 24s:2 18s:2 17s:2 50s:2 removes:1 creating:1 instead:1 code:1 creates:1 real:1 cluster:1 works:1 expected:1 26s:1 13s:1 30s:1 adding:1 dependency:1 concatenation:1 parameters:1 helps:1 supporting:1 feature:1 fact:1 represented:1 variable:1 replace:1 boolean:1 help:1 eliminate:1 logic:1 free:1 please:1 logging:1 well:1 requires:1 bump:1 argument:1 number:1 avoid:1 buffer:1 overflows:1 non:1 null:1 uploaded:1 comments:1 9s:1 4s:1 added:1 checking:1 failure:1 10s:1 committed:1 contribution:1 success:1 integrated:1 see:1 create:1 directory:1 correct:1 sticky:1 bit:1 rev:1 h:1,2018-01-05T20:01:15.000+0000,2018-01-13T01:42:51.000+0000,180105,180113,8,1,3.1.0 3.0.0,3.0.1 2.10.0 3.1.0,14,2018-01-09T19:33:50.648+0000,2018-01-13T08:11:53.979+0000,0,5,2018-01-09T19:30:13.561+0000,2018-01-12T01:14:30.444+0000,5,2018-01-09T19:30:13.561+0000,2018-01-12T01:14:30.444+0000,"Blocker:7590
Reference:7363",
YARN,ASF,Apache Hadoop Committee,big-data,7715,Major,Resolved,asuresh,miklos.szegedi@cloudera.com,,support:1 nm:1 promotion:1 demotion:1 running:1 containers:1,yarn:3 container:3 resource:1 handlers:1 update:1 containers:1 based:1 opportunistic:1 guaranteed:1 method:1 well:1 cpu:1 memory:1 resources:1 updated:1 started:1 means:1 need:1 ability:1 change:1 start:1,color:930 green:382 yarn:175 patch:92 server:88 passed:65 apache:51 trunk:43 java:35 project:27 linux:26 compile:25 tests:25 https:21 build:21 blue:20 brown:20 black:20 unit:17 job:17 builds:16 resources:16 red:15 0s:15 test:15 client:15 maven:15 edit:15 errors:11 main:11 subsystem:10 docker:10 author:10 building:10 testing:10 artifacts:10 issues:10 ce:10 personality:10 console:10 container:8 update:8 new:8 orange:8 failed:8 think:7 branch:7 generated:7 modules:6 call:6 message:6 apply:5 overall:5 vote:5 comment:5 22s:5 mode:5 activated:5 contain:5 tags:5 appears:5 include:5 modified:5 files:5 21s:5 generate:5 license:5 warnings:5 report:5 notes:5 image:5 issue:5 url:5 secure:5 attachment:5 optional:5 generic:5 utc:5 gnu:5 tool:5 provided:5 git:5 revision:5 version:5 default:5 artifact:5 results:5 max:5 process:5 thread:5 count:5 vs:5 c:5 u:5 output:5 powered:5 snapshot:5 http:5 automatically:5 updated:5 25s:5 state:4 23s:4 30s:4 18s:4 thanks:4 resource:4 running:4 also:4 nm:4 store:4 separate:3 based:3 x:3 5s:3 mon:3 26s:3 17s:3 containers:3 20s:3 promotion:3 execution:3 type:3 thinking:2 well:2 chen:2 two:2 create:2 24s:2 19s:2 unchanged:2 fixed:2 total:2 feb:2 thank:2 review:2 13s:2 reason:2 jan:2 even:2 demotion:2 verify:2 method:2 added:2 code:2 might:2 already:2 checking:2 add:2 commit:2 scheduler:2 fail:2 know:2 opportunistic:2 mean:2 updates:2 case:2 increase:2 need:2 agree:2 file:2 however:2 flag:2 needs:2 notified:2 setting:2 node:2 merged:2 introduce:1 callbacks:1 thoughts:1 functions:1 get:1 parameter:1 set:1 settings:1 current:1 working:1 preliminary:1 discuss:1 reuse:1 logic:1 attached:1 proposal:1 50s:1 15s:1 6s:1 27s:1 8s:1 28s:1 questions:1 comments:1 delegate:1 handlers:1 right:1 queued:1 3s:1 still:1 along:1 lines:1 mock:1 hesitant:1 hash:1 maps:1 asynchronous:1 become:1 nightmare:1 proper:1 check:1 directory:1 exists:1 makes:1 sense:1 warning:1 help:1 debugging:1 looks:1 good:1 otherwise:1 pending:1 9s:1 12s:1 shortly:1 committed:1 success:1 integrated:1 see:1 support:1 rev:1 inform:1 work:1 independently:1 fact:1 guaranteed:1 certain:1 time:1 hi:1 reply:1 consider:1 flowing:1 executing:1 another:1 question:1 containes:1 find:1 related:1 supports:1 far:1 decrease:1 trigger:1 one:1 change:1 like:1 second:1 scope:1 updating:1 shares:1 recover:1 error:1 restarts:1 storing:1 none:1 propagated:1 manager:1 taken:1 care:1 nothing:1 please:1 convinced:1 transparent:1 possible:1 communication:1 unnecessary:1 network:1 overhead:1 probably:1 solve:1 problem:1 information:1 interesting:1 actionable:1 depend:1,2018-01-08T19:41:22.000+0000,2018-05-10T18:28:27.000+0000,180108,180510,122,1,,3.2.0,24,2018-01-08T19:43:05.554+0000,2018-12-10T08:54:11.006+0000,0,5,2018-05-03T00:55:34.994+0000,2018-05-08T20:49:05.891+0000,5,2018-05-03T00:55:34.994+0000,2018-05-08T20:49:05.891+0000,Duplicate:7015,Duplicate:4166
YARN,ASF,Apache Hadoop Committee,big-data,7717,Major,Resolved,yeshavora,ebadger,,enabled:2 add:1 configuration:1 consistency:1 module:1 docker:1 privileged:1 containers:1,enabled:4 properties:3 true:3 false:3 value:3 module:2 docker:2 privileged:2 containers:2 takes:2 enable:2 disable:2 feature:2 string:2 container:1 executor:1 two:1 related:1 property:1 different:1 take:1 integer:1 behavior:1 consistent:1,color:712 green:228 yarn:119 patch:81 red:48 blue:48 passed:38 apache:34 server:31 unit:25 trunk:23 https:23 compile:22 tests:22 build:22 project:21 maven:20 builds:18 job:18 brown:16 black:16 0s:12 test:12 client:12 docker:11 c:11 branch:9 cc:9 failed:9 artifact:9 container:9 executor:9 true:8 subsystem:8 author:8 dependency:8 ordering:8 errors:8 building:8 testing:8 artifacts:8 ce:8 linux:8 personality:8 console:8 site:8 false:7 issue:7 code:7 git:7 issues:7 think:6 new:6 default:6 java:6 edit:6 thanks:5 fix:5 using:5 also:5 overall:5 well:5 appears:5 14s:5 generated:5 tc:4 might:4 case:4 x:4 vote:4 comment:4 mode:4 activated:4 contain:4 tags:4 include:4 modified:4 files:4 29s:4 line:4 license:4 warnings:4 report:4 notes:4 image:4 url:4 secure:4 attachment:4 optional:4 generic:4 utc:4 gnu:4 tool:4 provided:4 revision:4 version:4 results:4 max:4 process:4 thread:4 count:4 vs:4 modules:4 u:4 output:4 powered:4 snapshot:4 http:4 message:4 automatically:4 thank:4 12s:4 commit:4 main:4 native:4 good:3 see:3 review:3 like:3 enabled:3 updated:3 15s:3 generate:3 reason:3 indentation:3 rules:3 11s:3 18s:3 preferable:2 readable:2 however:2 shipped:2 releases:2 maintain:2 functionality:2 backwards:2 compatibility:2 quote:2 makes:2 make:2 insensitive:2 looks:2 comments:2 curious:2 give:2 us:2 flexibility:2 users:2 define:2 documentation:2 refers:2 use:2 uploading:2 20s:2 apply:2 tabs:2 fri:2 aug:2 27s:2 still:2 last:2 pretty:2 following:2 check:2 fall:2 back:2 number:2 5s:2 reporting:2 contribution:2 filing:1 straightforward:1 agree:1 sense:1 given:1 shared:1 glance:1 worth:1 inconsistencies:1 talked:1 better:1 work:1 attaching:1 allows:1 privileged:1 containers:1 feature:1 keeps:1 old:1 behavior:1 tried:1 keep:1 intact:1 much:1 possible:1 beautiful:1 definitely:1 optimize:1 things:1 necessary:1 couple:1 introduce:1 portability:1 concerns:1 desire:1 support:1 capture:1 match:1 sure:1 restriction:1 seems:1 change:1 update:1 address:1 feedback:1 24s:1 6s:1 end:1 refer:1 docs:1 2s:1 problems:1 30s:1 13s:1 19s:1 scheduler:1 capacity:1 sep:1 ran:1 failures:1 locally:1 plus:1 touch:1 say:1 unrelated:1 wow:1 bad:1 mistake:1 catch:1 fixed:1 confused:1 follow:1 bunch:1 statements:1 lines:1 indented:1 spaces:1 culprit:1 inconsistency:1 always:1 50s:1 16s:1 21s:1 25s:1 mon:1 feb:1 yea:1 probably:1 cleaner:1 way:1 works:1 right:1 interprets:1 clear:1 23s:1 reservation:1 shortly:1 committed:1 success:1 integrated:1 add:1 configuration:1 consistency:1 module:1 rev:1 md:1 reviews:1,2018-01-08T21:32:40.000+0000,2018-01-18T01:09:54.000+0000,180108,180118,10,1,3.0.0,3.1.0,21,2018-01-09T19:31:16.458+0000,2018-01-18T16:16:33.342+0000,0,4,2018-01-10T17:18:33.892+0000,2018-01-11T21:17:34.253+0000,4,2018-01-10T17:18:33.892+0000,2018-01-11T21:17:34.253+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,7718,Critical,Resolved,leftnoteasy,leftnoteasy,,failed:1 specify:1 resource:1 memory:1,yarn:1 bug:1 read:1 resource:1 values:1 memory:1,color:186 green:76 patch:19 yarn:19 passed:14 trunk:11 applications:8 apache:8 tests:7 red:5 compile:5 blue:4 brown:4 black:4 https:4 build:4 0s:3 client:3 maven:3 java:3 builds:3 job:3 project:3 commit:3 subsystem:2 docker:2 author:2 new:2 please:2 14s:2 29s:2 errors:2 building:2 testing:2 artifacts:2 19s:2 20s:2 issues:2 unit:2 ce:2 linux:2 personality:2 console:2 committed:2 thanks:2 attached:1 ver:1 set:1 regardless:1 profiles:1 enabled:1 x:1 overall:1 vote:1 comment:1 17s:1 mode:1 activated:1 contain:1 tags:1 appear:1 include:1 modified:1 justify:1 needed:1 also:1 list:1 manual:1 steps:1 performed:1 verify:1 21s:1 23s:1 branch:1 15s:1 22s:1 10s:1 13s:1 40s:1 generate:1 license:1 warnings:1 report:1 notes:1 server:1 image:1 issue:1 url:1 secure:1 attachment:1 optional:1 generic:1 fri:1 aug:1 utc:1 gnu:1 tool:1 provided:1 git:1 revision:1 version:1 default:1 test:1 results:1 max:1 process:1 thread:1 count:1 vs:1 modules:1 c:1 u:1 output:1 powered:1 snapshot:1 http:1 message:1 automatically:1 generated:1 help:1 review:1 get:1 makes:1 sense:1 try:1 today:1 working:1 fine:1 committing:1 shortly:1 success:1 integrated:1 see:1 failed:1 specify:1 resource:1 rev:1 edit:1 main:1,2018-01-08T22:48:33.000+0000,2018-01-09T11:09:59.000+0000,180108,180109,1,1,,3.1.0,7,2018-01-08T23:01:03.735+0000,2018-01-09T11:28:55.952+0000,0,1,2018-01-08T23:00:46.508+0000,2018-01-08T23:00:46.508+0000,1,2018-01-08T23:00:46.508+0000,2018-01-08T23:00:46.508+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,7727,Minor,Resolved,Prabhu Joseph,Prabhu Joseph,yarn,incorrect:1 log:1 levels:1 logs:1,log:2 message:2 logs:1 verbose:1 repeats:1 every:1 fraction:1 second:1 minor:1 issue:1 info:1 checking:1 debug:1 enabled:1,color:186 green:72 yarn:24 patch:21 passed:13 trunk:11 server:11 red:9 apache:9 tests:8 compile:5 https:5 build:5 blue:4 brown:4 branch:4 unit:4 black:4 builds:4 job:4 debug:3 please:3 0s:3 client:3 24s:3 maven:3 java:3 project:3 yes:2 joseph:2 logs:2 also:2 log:2 help:2 thanks:2 subsystem:2 docker:2 author:2 new:2 errors:2 building:2 testing:2 artifacts:2 issues:2 failed:2 capacity:2 ce:2 linux:2 personality:2 console:2 commit:2 let:1 us:1 convert:1 enabled:1 share:1 reviewing:1 sure:1 x:1 overall:1 vote:1 comment:1 16s:1 mode:1 activated:1 contain:1 tags:1 appear:1 include:1 modified:1 justify:1 needed:1 list:1 manual:1 steps:1 performed:1 verify:1 27s:1 4s:1 9s:1 18s:1 20s:1 generate:1 license:1 warnings:1 reason:1 scheduler:1 report:1 notes:1 image:1 issue:1 url:1 secure:1 attachment:1 optional:1 generic:1 fri:1 aug:1 utc:1 gnu:1 tool:1 provided:1 git:1 revision:1 version:1 default:1 artifact:1 test:1 results:1 max:1 process:1 thread:1 count:1 vs:1 modules:1 c:1 u:1 output:1 powered:1 snapshot:1 http:1 message:1 automatically:1 generated:1 looks:1 fine:1 committing:1 later:1 today:1 objections:1 committed:1 success:1 integrated:1 see:1 incorrect:1 levels:1 rev:1 edit:1 main:1 monitor:1,2018-01-10T05:48:17.000+0000,2018-01-12T10:29:23.000+0000,180110,180112,2,1,2.7.3,3.0.1 2.9.1 2.10.0 3.1.0,6,2018-01-10T05:56:21.137+0000,2018-01-12T10:30:54.459+0000,0,1,2018-01-10T06:17:55.606+0000,2018-01-10T06:17:55.606+0000,1,2018-01-10T06:17:55.606+0000,2018-01-10T06:17:55.606+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,7731,Major,Resolved,billie.rinaldi,eyang,,handle:1 upstream:1 returning:1,record:5 lookup:2 ip:2 address:2 performs:1 upstream:1 server:1 retrieved:1 returns:1 response:1 meaning:1 resolved:1 perform:1 new:1 name:1 attempt:1 find:1 provide:1,color:558 green:224 patch:52 yarn:46 passed:41 trunk:26 apache:25 red:19 https:17 registry:16 compile:15 tests:14 build:14 blue:12 brown:12 git:12 black:12 0s:11 builds:11 job:11 client:9 18s:9 maven:9 test:8 unit:8 project:8 20s:7 server:7 java:7 subsystem:6 docker:6 author:6 errors:6 building:6 testing:6 artifacts:6 apply:6 ce:6 linux:6 personality:6 console:6 fix:4 issue:4 artifact:4 lookup:3 record:3 x:3 overall:3 vote:3 comment:3 mode:3 activated:3 contain:3 tags:3 appears:3 include:3 new:3 modified:3 files:3 branch:3 21s:3 line:3 end:3 use:3 refer:3 docs:3 generate:3 license:3 warnings:3 report:3 notes:3 image:3 url:3 issues:3 secure:3 attachment:3 optional:3 generic:3 utc:3 gnu:3 tool:3 provided:3 revision:3 version:3 default:3 results:3 max:3 process:3 thread:3 count:3 vs:3 modules:3 c:3 u:3 output:3 powered:3 snapshot:3 http:3 message:3 automatically:3 generated:3 commit:3 recursive:2 10s:2 14s:2 25s:2 30s:2 11s:2 19s:2 failed:2 case:2 24s:2 22s:2 fri:2 aug:2 thanks:2 records:2 infinite:2 loop:2 edit:2 add:1 1s:1 23s:1 16s:1 reason:1 wed:1 oct:1 fixed:1 accuracy:1 verify:1 existence:1 instead:1 depending:1 reply:1 length:1 5s:1 15s:1 28s:1 13s:1 tried:1 fixes:1 seeing:1 one:1 question:1 need:1 guard:1 alias:1 returns:1 another:1 aliases:1 form:1 added:1 detection:1 prevent:1 17s:1 success:1 integrated:1 see:1 handle:1 upstream:1 returning:1 rev:1 main:1,2018-01-10T22:49:27.000+0000,2018-01-12T18:29:30.000+0000,180110,180112,2,1,,3.1.0,10,2018-01-11T00:16:59.631+0000,2018-01-12T18:48:32.533+0000,0,3,2018-01-11T00:16:35.733+0000,2018-01-12T01:23:08.876+0000,3,2018-01-11T00:16:35.733+0000,2018-01-12T01:23:08.876+0000,,
YARN,ASF,Apache Hadoop Committee,big-data,7734,Major,Resolved,miklos.szegedi@cloudera.com,Tao Yang,,yarn:1 breaks:1,adds:1 call:1 context:1 filled:1 configuration:1 mock:1 unit:1 test:1,color:186 green:81 yarn:20 patch:17 passed:14 trunk:11 server:9 apache:8 compile:5 blue:4 brown:4 0s:4 tests:4 black:4 https:4 build:4 failure:3 test:3 branch:3 client:3 maven:3 java:3 builds:3 job:3 project:3 commit:3 thanks:3 ut:2 context:2 subsystem:2 docker:2 author:2 errors:2 building:2 testing:2 artifacts:2 22s:2 issues:2 unit:2 ce:2 linux:2 personality:2 console:2 also:2 still:1 attached:1 adds:1 mock:1 solve:1 overall:1 vote:1 comment:1 18s:1 mode:1 activated:1 contain:1 tags:1 appears:1 include:1 new:1 modified:1 files:1 24s:1 50s:1 20s:1 23s:1 21s:1 9s:1 generate:1 license:1 warnings:1 report:1 notes:1 image:1 issue:1 url:1 secure:1 attachment:1 optional:1 generic:1 jan:1 utc:1 gnu:1 tool:1 provided:1 git:1 revision:1 version:1 default:1 results:1 max:1 process:1 thread:1 count:1 vs:1 modules:1 c:1 u:1 output:1 powered:1 snapshot:1 http:1 message:1 automatically:1 generated:1 shortly:1 committed:1 fixing:1 tao:1 yang:1 review:1 committing:1 success:1 integrated:1 see:1 fix:1 rev:1 edit:1 cherry:1 picked:1,2018-01-11T04:14:40.000+0000,2018-03-28T09:45:22.000+0000,180111,180328,77,1,3.0.1 3.1.0,3.0.3 3.1.1 3.2.0,8,2018-03-28T06:28:13.106+0000,2018-04-19T02:59:11.865+0000,0,1,2018-03-28T06:26:43.523+0000,2018-03-28T06:26:43.523+0000,1,2018-03-28T06:26:43.523+0000,2018-03-28T06:26:43.523+0000,Problem/Incident:5418,
